descricaolocal,zona,mes,estado_carro,exposicao_local,fabricante_celular,peridoocorrencia,sexo,descr_cor_veiculo,tipo_veiculo,tipo_crime
VIA PUBLICA,SUL,8,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,11,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,5,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,5,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,2,VELHO,RISCO ALTO PLUS,,A NOITE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,2,NOVO,RISCO ALTO PLUS,,A TARDE,,Vermelho,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,OESTE,7,SEMI-NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,8,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,1,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,1,VELHO,RISCO ALTO PLUS,,A TARDE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,4,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,2,NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,3,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Prata,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,2,VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,10,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,8,NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,5,NOVO,RISCO ALTO PLUS,,A NOITE,,Verde,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,2,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,10,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,1,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,9,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,10,VELHO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,11,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,7,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,4,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Preta,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,9,VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Branco,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,5,SEMI-NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,10,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,12,VELHO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,OESTE,7,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Branco,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,2,NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,5,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,8,NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Marrom,MOTO,Roubo Veiculo
VIA PUBLICA,OESTE,6,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,2,VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,5,NOVO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,5,NOVO,RISCO ALTO PLUS,,A NOITE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,3,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Amarelo,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,4,VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,CENTRO,9,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,11,NOVO,RISCO ALTO PLUS,,A NOITE,,Preta,MOTO,Roubo Veiculo
VIA PUBLICA,OESTE,7,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,10,VELHO,RISCO ALTO PLUS,,A TARDE,,Azul,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,9,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,7,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Amarelo,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,OESTE,9,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Branco,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,9,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,8,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,2,VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,OESTE,12,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Vermelho,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,4,NOVO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,5,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Preta,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,11,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,4,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,5,NOVO,RISCO ALTO PLUS,,PELA MANHA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,8,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,OESTE,10,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,2,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
COMERCIO E SERVICOS,SUL,6,SEMI-VELHO,RISCO ALTO,,A TARDE,,Branco,VEÍCULO PESADO,Roubo Veiculo
VIA PUBLICA,OESTE,4,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,OESTE,6,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,OESTE,7,VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,5,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,3,VELHO,RISCO ALTO PLUS,,A NOITE,,Azul,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,6,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,8,NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Branco,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,7,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,2,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,6,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,3,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,9,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,11,SEMI-NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,7,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,11,NOVO,RISCO ALTO PLUS,,A TARDE,,Preta,MOTO,Roubo Veiculo
COMERCIO E SERVICOS,NORTE,3,SEMI-NOVO,RISCO ALTO,,PELA MANHA,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,5,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Prata,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,2,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Fantasia,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,11,NOVO,RISCO ALTO PLUS,,A TARDE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,2,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Preta,VEÍCULO PESADO,Roubo Veiculo
VIA PUBLICA,LESTE,6,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,4,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Prata,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,OESTE,4,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Vermelho,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,3,VELHO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,3,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,7,VELHO,RISCO ALTO PLUS,,A NOITE,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,OESTE,10,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Vermelho,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,12,NOVO,RISCO ALTO PLUS,,A NOITE,,Vermelho,MOTO,Roubo Veiculo
VIA PUBLICA,NORTE,11,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Vermelho,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,9,NOVO,RISCO ALTO PLUS,,A NOITE,,Cinza,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,5,NOVO,RISCO ALTO PLUS,,A NOITE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,4,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,12,NOVO,RISCO ALTO PLUS,,A NOITE,,Verde,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,4,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,3,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,11,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Preta,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,9,SEMI-NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,6,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Preta,MOTO,Roubo Veiculo
VIA PUBLICA,LESTE,12,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,12,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Vermelho,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,2,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Preta,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,12,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Prata,AUTOMOVEL,Roubo Veiculo
RESTAURANTE E AFINS,SUL,7,SEMI-VELHO,RISCO ALTO,,A NOITE,,Prata,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,3,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,3,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Azul,MOTO,Roubo Veiculo
VIA PUBLICA,OESTE,1,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,2,VELHO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,4,NOVO,RISCO ALTO PLUS,,A NOITE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,3,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,OESTE,3,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Vermelho,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,12,NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Vermelho,MOTO,Roubo Veiculo
